Element,Rs,Rp,Rd
Li,0.985,0.625,0
Be,0.64,0.44,0
B,0.48,0.315,0
C,0.39,0.25,0
N,0.33,0.21,0
O,0.285,0.18,0
F,0.25,0.155,0
Ne,0.22,0.14,0
Na,1.1,1.55,0
Mg,0.9,1.13,0
Al,0.77,0.905,0
Si,0.68,0.74,0
P,0.6,0.64,0
S,0.54,0.56,0
Cl,0.5,0.51,0
Ar,0.46,0.46,0
K,1.54,2.15,0.37
Ca,1.32,1.68,0.34
Sc,1.22,1.53,0.31
Ti,1.15,1.43,0.28
V,1.09,1.34,0.26
Cr,1.07,1.37,0.25
Mn,0.99,1.23,0.23
Fe,0.95,1.16,0.22
Co,0.92,1.1,0.21
Ni,0.96,1.22,0.195
Cu,0.88,1.16,0.185
Zn,0.82,1.06,0.175
Ga,0.76,0.935,0.17
Ge,0.72,0.84,0.16
As,0.67,0.745,0.155
Se,0.615,0.67,0.15
Br,0.58,0.62,0.143
Kr,0.56,0.6,0.138
Rb,1.67,2.43,0.71
Sr,1.42,1.79,0.633
Y,1.32,1.62,0.58
Zr,1.265,1.56,0.54
Nb,1.23,1.53,0.51
Mo,1.22,1.5,0.49
Tc,1.16,1.49,0.455
Ru,1.145,1.46,0.45
Rh,1.11,1.41,0.42
Pd,1.08,1.37,0.4
Ag,1.045,1.33,0.385
Cd,0.985,1.23,0.37
In,0.94,1.11,0.36
Sn,0.88,1,0.345
Sb,0.83,0.935,0.335
Te,0.79,0.88,0.325
I,0.755,0.83,0.315
Xe,0.75,0.81,0.305
Cs,1.71,2.6,0
Ba,1.515,1.887,0.94
La,1.375,1.705,0.874
Hf,1.3,1.61,0.63
Ta,1.25,1.54,0.605
W,1.22,1.515,0.59
Re,1.19,1.49,0.565
Os,1.17,1.48,0.543
Ir,1.16,1.468,0.526
Pt,1.24,1.46,0.51
Au,1.21,1.45,0.488
Hg,1.07,1.34,0.475
Tl,1.015,1.22,0.463
Pb,0.96,1.13,0.45
Bi,0.92,1.077,0.438
Po,0.88,1.02,0.425
At,0.85,0.98,0.475
Rn,0.84,0.94,0.405